Tỉnh,Quận/ huyện,Phường/xã cần tắt,"Bưu Cục
Vùng để trống cột bất kỳ từ cột B-> R 
Nhập sai format
=> KHÔNG REVIEW",Kết quả (KA) update,% Cap Down (KA),Thời gian tắt (KA),Thời gian mở (KA),Note
Khánh Hòa,Thành phố Cam Ranh,Xã Cam Lập,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Cam Ranh,Xã Cam Phước Đông,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Cam Ranh,Xã Cam Thịnh Đông,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Cam Ranh,Xã Cam Thịnh Tây,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Cam Ranh,Phường Cam Nghĩa,Bưu Cục 571 Hùng Vương-Cam Nghĩa-TP.Cam Ranh-Khánh Hoà,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Cam Ranh,Phường Cam Phúc Bắc,Bưu Cục 571 Hùng Vương-Cam Nghĩa-TP.Cam Ranh-Khánh Hoà,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Cam Ranh,Xã Cam Thành Nam,Bưu Cục 571 Hùng Vương-Cam Nghĩa-TP.Cam Ranh-Khánh Hoà,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Khánh Hòa,Thành phố Nha Trang,Phường Phước Hải,Bưu Cục Đường 35 Hà Quang 1-Xã Nam Nha Trang-Khánh Hòa,DUYỆT,100%,09-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Đắk Nông,Thành phố Gia Nghĩa,Phường Nghĩa Đức,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Đắk Nông,Thành phố Gia Nghĩa,Phường Nghĩa Trung,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Đắk Nông,Thành phố Gia Nghĩa,Xã Đắk Nia,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Lâm Đồng,Thành phố Đà Lạt,Phường 7,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Lâm Đồng,Huyện Lạc Dương,Thị trấn Lạc Dương,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Lâm Đồng,Huyện Lạc Dương,Xã Đạ Chais,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Lâm Đồng,Huyện Lạc Dương,Xã Đạ Nhim,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Lâm Đồng,Huyện Lạc Dương,Xã Đạ Sar,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Lâm Đồng,Huyện Lạc Dương,Xã Đưng KNớ,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Lâm Đồng,Huyện Lạc Dương,Xã Lát,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Lâm Đồng,Huyện Đơn Dương,Thị trấn D'Ran,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Đơn Dương,Thị trấn Thạnh Mỹ,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Đơn Dương,Xã Đạ Ròn,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Đơn Dương,Xã Ka Đô,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Đơn Dương,Xã Ka Đơn,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Đơn Dương,Xã Lạc Lâm,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Đơn Dương,Xã Lạc Xuân,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Đơn Dương,Xã Pró,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Đơn Dương,Xã Quảng Lập,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,DUYỆT,,,,
Lâm Đồng,Huyện Đơn Dương,Xã Tu Tra,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,DUYỆT,,,,
Đắk Nông,Huyện Đắk R lấp,Xã Đắk Ru,Bưu Cục Thôn 2-Xã Quảng Tín-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Đắk Nông,Huyện Đắk R lấp,Xã Đắk Sin,Bưu Cục Thôn 2-Xã Quảng Tín-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Đắk Nông,Huyện Đắk R lấp,Xã Hưng Bình,Bưu Cục Thôn 2-Xã Quảng Tín-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Đắk Nông,Huyện Đắk R lấp,Xã Quảng Tín,Bưu Cục Thôn 2-Xã Quảng Tín-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Đắk Nông,Huyện Tuy Đức,Xã Đắk Ngo,Bưu Cục Thôn 2-Xã Quảng Tín-Đắk Nông,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
Lâm Đồng,Huyện Lâm Hà,Xã Đan Phượng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Lâm Hà,Xã Hoài Đức,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Lâm Hà,Xã Liên Hà,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Lâm Hà,Xã Phúc Thọ,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Lâm Hà,Xã Tân Hà,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Lâm Đồng,Huyện Lâm Hà,Xã Tân Thanh,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,DUYỆT,100%,07-06-2026,20-06-2026,Tuyến Đang OFF - Mở lại ngày: 20/06/2026
Đắk Nông,Thành phố Gia Nghĩa,Phường Nghĩa Tân,Điểm Xử Lý Hàng TDP 8 Quốc Lộ 14-Đông Gia Nghĩa-Lâm Đồng,DUYỆT,100%,01-06-2026,15-06-2026,Tuyến Đang OFF - Mở lại ngày: 15/06/2026
