warehouse_id,Bưu cục,Tỉnh,AM
22425000,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,Lâm Đồng,Huỳnh Thị Kim Chi
22774000,Bưu Cục Thôn Phú An Nam 2-Xã Diên Khánh-Khánh Hòa,Khánh Hòa,Nguyễn Hoàng Phi
21722000,Bưu Cục Thôn Long Hoà-Vạn Long-Vạn Ninh-Khánh Hoà,Khánh Hòa,Phạm Bá Thành Công
21331000,Bưu Cục Thôn Dầu Sơn-Cam Lâm-Khánh Hoà,Khánh Hòa,Nguyễn Hoàng Phi
22394000,Bưu Cục Thôn 2-Xã Quảng Tín-Đắk Nông,Đắk Nông,Trần Văn Phước
20590000,Bưu Cục Thôn 2-Tuy Đức-Đắk Nông,Đắk Nông,Trần Thị Nhung
21298000,Bưu cục Thị Trấn Liên Hương-Tuy Phong-Bình Thuận,Bình Thuận,Nguyễn Duy Long
21377000,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,Lâm Đồng,Lê Minh Đại
21458000,Bưu Cục TDP Ba Đình-Lâm Hà-Lâm Đồng,Lâm Đồng,Huỳnh Thị Kim Chi
21067000,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận,Bình Thuận,Huỳnh Tấn Hiền
22312000,Bưu Cục Số 6 Trương Văn Hoàn-Phường 9-Đà Lạt-Lâm Đồng,Lâm Đồng,Lê Văn Trường
20499000,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,Ninh Thuận,Nguyễn Duy Long
21477000,Bưu Cục Quốc Lộ 14-Đức An-Đắk Song-Đăk Nông,Đắk Nông,Trần Thị Nhung
21150000,Bưu Cục Quảng Sơn-Đắk Glong-Đắk Nông,Đắk Nông,Trần Thị Nhung
21364000,Bưu Cục Quảng Khê-Đắk Glong-Đắk Nông,Đắk Nông,Trần Thị Nhung
23015000,Bưu Cục QL55-Bảo Lâm 3-Lâm Đồng,Lâm Đồng,Hồng Bích Nga
20849000,Bưu Cục QL20 Ninh Hòa-Đức Trọng-Lâm Đồng,Lâm Đồng,Võ Tấn Lợi
22357000,Bưu Cục Phước Minh-Thuận Nam-Ninh Thuận,Ninh Thuận,Nguyễn Duy Long
2502,Bưu Cục Phước Đồng-Nha Trang-Khánh Hoà,Khánh Hòa,Thái Thị Thanh Thư
21320000,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,Bình Thuận,Nguyễn Ngọc Khánh
21396000,Bưu Cục Phú Tài-Phan Thiết-Bình Thuận,Bình Thuận,Nguyễn Ngọc Khánh
21126000,Bưu cục Ngô Thỳ Sỹ-Đà Lạt-Lâm Đồng,Lâm Đồng,Lê Minh Đại
22086000,Bưu Cục Nâm N'Jang-Đắk Song-Đắk Nông,Đắk Nông,Trần Thị Nhung
22255000,Bưu Cục Lê Hồng Phong-Liên Hiệp-Đức Trọng-Lâm Đồng,Lâm Đồng,Võ Tấn Lợi
22051000,Bưu Cục Langbiang-Lạc Dương-Lâm Đồng,Lâm Đồng,Lê Minh Đại
22048000,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,Đắk Nông,Trần Công Hậu
21403000,Bưu Cục Hàm Liêm-Hàm Thuận Bắc-Bình Thuận,Bình Thuận,Nguyễn Ngọc Khánh
20669000,Bưu Cục Đường Trần Lê-Cát Tiên-Lâm Đồng,Lâm Đồng,Huỳnh Tấn Hiền
22793000,Bưu Cục Đường Tỉnh Lộ 10-Xã Diên Thọ-Khánh Hòa,Khánh Hòa,Nguyễn Hoàng Phi
22363000,Bưu Cục Đường 35 Hà Quang 1-Xã Nam Nha Trang-Khánh Hòa,Khánh Hòa,Thái Thị Thanh Thư
21290000,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,Bình Thuận,Lê Thanh Nhựt
21294000,Bưu cục Đinh Văn-Lâm Hà-Lâm Đồng,Lâm Đồng,Huỳnh Thị Kim Chi
2309,Bưu Cục Đắk Mil-Đắk Nông,Đắk Nông,Trần Thị Nhung
20670000,Bưu Cục Đạ Rsal-Đam Rông-Lâm Đồng,Lâm Đồng,Huỳnh Thị Kim Chi
1896,Bưu Cục Đạ Huoai-Lâm Đồng,Lâm Đồng,Huỳnh Tấn Hiền
21687000,Bưu Cục Cao Bá Quát-Phường 7-Đà Lạt-Lâm Đồng,Lâm Đồng,Lê Minh Đại
20785000,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,Lâm Đồng,Hồng Bích Nga
22861000,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,Ninh Thuận,Nguyễn Duy Long
20591000,Bưu Cục 73 Nguyễn Tất Thành-Krông Nô-Đắk Nông,Đắk Nông,Trần Thị Nhung
21569000,Bưu Cục 70 Lê Hồng Phong-Ninh Diêm-Ninh Hoà-Khánh Hoà,Khánh Hòa,Phạm Bá Thành Công
22934000,Bưu Cục 585 Nguyễn Tất Thành-Xã Lương Sơn-Bình Thuận,Bình Thuận,Nguyễn Ngọc Khánh
22483000,Bưu Cục 575 Quốc Lộ 28-Xã Hàm Thuận-Bình Thuận,Bình Thuận,Nguyễn Ngọc Khánh
21479000,Bưu Cục 571 Hùng Vương-Cam Nghĩa-TP.Cam Ranh-Khánh Hoà,Khánh Hòa,Phạm Bá Thành Công
22830000,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,Khánh Hòa,Thái Thị Thanh Thư
22242000,Bưu Cục 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,Đắk Nông,Trần Văn Phước
20648000,Bưu Cục 51 Phạm Ngọc Thạch-Ninh Hải-Ninh Thuận,Ninh Thuận,Nguyễn Duy Long
21065000,Bưu cục 47 Trần Hưng Đạo-Hàm Thuận Nam-Bình Thuận,Bình Thuận,Lê Thanh Nhựt
21516000,Bưu Cục 468 Quốc Lộ 20-Liên Nghĩa-Đức Trọng-Lâm Đồng,Lâm Đồng,Trầm Hữu Tiến
20320000,Bưu Cục 466 Đường 23/10-Nha Trang-Khánh Hòa,Khánh Hòa,Phan Đình Duy
20687000,Bưu Cục 46 Hùng Vương-Hàm Tân-Bình Thuận,Bình Thuận,Lê Thanh Nhựt
22452000,Bưu Cục 454 Võ Văn Kiệt-Đặc Khu Đảo Phú Quý-Bình Thuận,Bình Thuận,Nguyễn Ngọc Khánh
20663000,Bưu Cục 44B Nguyễn Đình Chiểu-Đạ Teh-Lâm Đồng,Lâm Đồng,Huỳnh Tấn Hiền
21594000,Bưu Cục 430 Tôn Đức Thắng-Tân Phước-Thị xã La Gi-Bình Thuận,Bình Thuận,Huỳnh Tấn Hiền
20588000,Bưu Cục 42 Nguyễn Du-Cam Lâm-Khánh Hoà,Khánh Hòa,Nguyễn Thanh Long
21688000,Bưu Cục 412 Nguyễn Văn Cừ-Lộc Phát-Bảo Lộc-Lâm Đồng,Lâm Đồng,Hồng Bích Nga
20495000,Bưu Cục 40A Yết Kiêu-Nha Trang-Khánh Hòa,Khánh Hòa,Phan Đình Duy
20673000,Bưu Cục 40 Nguyễn Văn Linh-Cư Jút-Đắk Nông,Đắk Nông,Trần Thị Nhung
20143000,Bưu Cục 39 Hùng Vương-Diên Khánh-Khánh Hòa,Khánh Hòa,Nguyễn Hoàng Phi
21046000,Bưu Cục 36 Bà Triệu-Vạn Ninh-Khánh Hoà,Khánh Hòa,Phạm Bá Thành Công
22222000,Bưu Cục 337 Hùng Vương-Lộc Thắng-Bảo Lâm-Lâm Đồng,Lâm Đồng,Hồng Bích Nga
22116000,Bưu Cục 300 Tự Phước-Đà Lạt-Lâm Đồng,Lâm Đồng,Lê Văn Trường
20316000,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,Ninh Thuận,Nguyễn Duy Long
20150000,Bưu Cục 254A Đường 21 tháng 8-Phan Rang-Tháp Chàm-Ninh Thuận,Ninh Thuận,Nguyễn Duy Long
20633000,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,Bình Thuận,Nguyễn Ngọc Khánh
22759000,Bưu Cục 231 Thôn 1-Xã Hòa Ninh-Lâm Đồng,Lâm Đồng,Hồng Bích Nga
22746000,Bưu Cục 229 Phước Long-Nam Nha Trang-Khánh Hòa,Khánh Hòa,Thái Thị Thanh Thư
22549000,Bưu Cục 21 Trần Hưng Đạo-Xã Phan Rí Cửa-Bình Thuận,Bình Thuận,Nguyễn Duy Long
2399,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,Khánh Hòa,Phạm Bá Thành Công
21537000,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,Lâm Đồng,Lê Văn Trường
20144000,Bưu Cục 16 Huỳnh Thúc Kháng-Phan Thiết-Bình Thuận,Bình Thuận,Nguyễn Ngọc Khánh
2357,Bưu Cục 158 Quốc lộ 55-Tánh Linh-Bình Thuận,Bình Thuận,Huỳnh Tấn Hiền
21468000,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,Lâm Đồng,Nguyễn Lê Nguyên Vũ
20942000,Bưu Cục 1322 Hùng Vương-Di Linh-Lâm Đồng,Lâm Đồng,Trầm Hữu Tiến
20784000,Bưu Cục 111 Lê Duẫn-Khánh Sơn-Khánh Hoà,Khánh Hòa,Nguyễn Tống Hùng Phong
22704000,Bưu Cục 06 Lê Hồng Phong-TP.Nha Trang-Khánh Hòa,Khánh Hòa,Thái Thị Thanh Thư
20269000,Bưu Cục 01 Nguyễn Tất Thành-Đắk R lấp-Đắk Nông,Đắk Nông,Trần Văn Phước
