tutinh,kholay,NgayLTC,khung_gio_tao_don,ly_do_tre_12h,sellername,vol_ltc,tuan,vung,ot,Tuần,AM
Đắk Nông,Bưu Cục 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,2026-05-15,1.Tạo trước 9h,4.Khác,NAMI SHOP 3968,4,20,NTB,0,W20,Trần Văn Phước
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Ari Koi Store,1,20,NTB,1,W20,Lê Văn Trường
Lâm Đồng,Bưu Cục 468 Quốc Lộ 20-Liên Nghĩa-Đức Trọng-Lâm Đồng,2026-05-15,1.Tạo trước 9h,4.Khác,Vườn Bi Ve,1,20,NTB,0,W20,Trầm Hữu Tiến
Bình Thuận,Bưu Cục Phú Tài-Phan Thiết-Bình Thuận,2026-05-15,1.Tạo trước 9h,4.Khác,Trúc Vy TShirt Shop,1,20,NTB,0,W20,Nguyễn Ngọc Khánh
Lâm Đồng,Bưu Cục 468 Quốc Lộ 20-Liên Nghĩa-Đức Trọng-Lâm Đồng,2026-05-15,1.Tạo trước 9h,4.Khác,Ser Dalat,1,20,NTB,0,W20,Trầm Hữu Tiến
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Fresh Elegant Fashion Looks,1,20,NTB,1,W20,Phạm Bá Thành Công
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-05-15,1.Tạo trước 9h,4.Khác,YẾN BIGSIZE UNISEX,1,20,NTB,0,W20,Nguyễn Duy Long
Khánh Hòa,Bưu Cục Phước Đồng-Nha Trang-Khánh Hoà,2026-05-15,1.Tạo trước 9h,4.Khác,Làng Nghề Lưới Cước,1,20,NTB,0,W20,Thái Thị Thanh Thư
Bình Thuận,Bưu Cục 158 Quốc lộ 55-Tánh Linh-Bình Thuận,2026-05-15,3.Tạo sau 19h,4.Khác,Hiền Lương Mào Núi,1,20,NTB,0,W20,Huỳnh Tấn Hiền
Bình Thuận,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,2026-05-15,1.Tạo trước 9h,3.Không liên lạc được,Dừa Vàng 24K Phan Thiết,1,20,NTB,0,W20,Lê Thanh Nhựt
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,FRM NUTS,9,20,NTB,9,W20,Nguyễn Duy Long
Bình Thuận,Bưu Cục Hàm Liêm-Hàm Thuận Bắc-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,BeautyMT,8,20,NTB,8,W20,Nguyễn Ngọc Khánh
Đắk Nông,Bưu Cục 73 Nguyễn Tất Thành-Krông Nô-Đắk Nông,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Thú Y Vũ Hào,1,20,NTB,1,W20,Trần Thị Nhung
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-05-15,3.Tạo sau 19h,0.Ontime OPR,Pin Duy Lập,19,20,NTB,19,W20,Nguyễn Ngọc Khánh
Bình Thuận,Bưu Cục Phú Tài-Phan Thiết-Bình Thuận,2026-05-15,3.Tạo sau 19h,0.Ontime OPR,PHANTHIETFOOD 02,5,20,NTB,5,W20,Nguyễn Ngọc Khánh
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Dâu Tây Shop 85,1,20,NTB,1,W20,Nguyễn Duy Long
Đắk Nông,Bưu Cục 53 Tôn Đức Thắng-Nghĩa Thành-Gia Nghĩa-Đắk Nông,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Zozo Shop 1339,2,20,NTB,2,W20,Trần Văn Phước
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,ShopVinhThuySang,6,20,NTB,6,W20,Huỳnh Tấn Hiền
Khánh Hòa,Bưu Cục Tổ Dân Phố 2-Ninh Hoà-Khánh Hoà,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Tý Nhân,1,20,NTB,1,W20,Phạm Bá Thành Công
Ninh Thuận,Bưu Cục 95 Thống Nhất-Phan Rang-Ninh Thuận,2026-05-15,2.Tạo từ 9h-19h,1.Gan_tre,FRM NUTS,2,20,NTB,0,W20,Nguyễn Duy Long
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-05-15,1.Tạo trước 9h,0.Ontime OPR,Nông trại Hoàng Yến,2,20,NTB,2,W20,Nguyễn Duy Long
Lâm Đồng,Bưu Cục 44B Nguyễn Đình Chiểu-Đạ Teh-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Điện Máy Tổng Hợp 24h,8,20,NTB,8,W20,#N/A
Bình Thuận,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,2.Khách hẹn lại,Dừa Vàng 24K Phan Thiết,1,20,NTB,0,W20,Lê Thanh Nhựt
Ninh Thuận,Bưu Cục 26A Lê Duẩn-Ninh Sơn-Ninh Thuận,2026-05-15,1.Tạo trước 9h,4.Khác,Nhang Hiệp Hưng,21,20,NTB,0,W20,Nguyễn Duy Long
Lâm Đồng,Bưu Cục TDP Ba Đình-Lâm Hà-Lâm Đồng,2026-05-15,3.Tạo sau 19h,2.Khách hẹn lại,Xưởng In Ngoan Xinh Yêu,1,20,NTB,0,W20,Huỳnh Thị Kim Chi
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Nội Thất Phan Thiết,1,20,NTB,1,W20,Nguyễn Ngọc Khánh
Ninh Thuận,Bưu Cục 254A Đường 21 tháng 8-Phan Rang-Tháp Chàm-Ninh Thuận,2026-05-15,3.Tạo sau 19h,0.Ontime OPR,MASOVI-STORE,1,20,NTB,1,W20,Nguyễn Duy Long
Bình Thuận,Bưu Cục Hàm Liêm-Hàm Thuận Bắc-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Thuận Phát - Thuốc Cây Trồng,5,20,NTB,5,W20,Nguyễn Ngọc Khánh
Lâm Đồng,Bưu Cục 412 Nguyễn Văn Cừ-Lộc Phát-Bảo Lộc-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Nông Cơ Trọng Tiến,2,20,NTB,2,W20,Hồng Bích Nga
Đắk Nông,Bưu Cục Đắk Mil-Đắk Nông,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,BÀN THỜ THẦN TÀI ĐẸP,1,20,NTB,1,W20,Trần Thị Nhung
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-05-15,1.Tạo trước 9h,2.Khách hẹn lại,Trường Thịnh Shop,1,20,NTB,0,W20,Huỳnh Tấn Hiền
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-05-15,1.Tạo trước 9h,0.Ontime OPR,Shop phụ kiện loa rừng,10,20,NTB,10,W20,Huỳnh Tấn Hiền
Bình Thuận,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,2026-05-15,3.Tạo sau 19h,0.Ontime OPR,Wussy Shop,2,20,NTB,2,W20,Lê Thanh Nhựt
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-15,1.Tạo trước 9h,4.Khác,Cái Tiệm Áo Thun TEETREND,4,20,NTB,0,W20,Phạm Bá Thành Công
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,LUNASTORES SHOPss,1,20,NTB,1,W20,Nguyễn Lê Nguyên Vũ
Bình Thuận,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,1.Gan_tre,truyền phương,4,20,NTB,0,W20,Nguyễn Ngọc Khánh
Bình Thuận,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,TUAN LE CLOTHING,18,20,NTB,18,W20,Cao Thị Thanh Thủy
Bình Thuận,Bưu Cục 575 Quốc Lộ 28-Xã Hàm Thuận-Bình Thuận,2026-05-15,1.Tạo trước 9h,0.Ontime OPR,VTNN Trung Hiếu,11,20,NTB,11,W20,Nguyễn Ngọc Khánh
Khánh Hòa,Bưu Cục Đường Tỉnh Lộ 10-Xã Diên Thọ-Khánh Hòa,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,In Ảnh Tráng Gương Kim Yến,3,20,NTB,3,W20,Nguyễn Hoàng Phi
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-15,1.Tạo trước 9h,4.Khác,FOUR EYES STUDIO,1,20,NTB,0,W20,Phạm Bá Thành Công
Bình Thuận,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,2026-05-15,3.Tạo sau 19h,4.Khác,truyền phương,8,20,NTB,0,W20,Nguyễn Ngọc Khánh
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-05-15,1.Tạo trước 9h,2.Khách hẹn lại,Trà Tằng Vĩnh An Lâm Đồng,102,20,NTB,0,W20,Nguyễn Lê Nguyên Vũ
Lâm Đồng,Bưu Cục Lê Hồng Phong-Liên Hiệp-Đức Trọng-Lâm Đồng,2026-05-15,3.Tạo sau 19h,4.Khác,HOÀNG  PP SHOP,2,20,NTB,0,W20,Võ Tấn Lợi
Lâm Đồng,Bưu Cục Cao Bá Quát-Phường 7-Đà Lạt-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,YODY Official,9,20,NTB,9,W20,Lê Minh Đại
Lâm Đồng,Bưu Cục Số 6 Trương Văn Hoàn-Phường 9-Đà Lạt-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Atiso Đặc sản Đà Lạt,2,20,NTB,2,W20,Lê Văn Trường
Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,DALAT CORDYCEPS OFFICIAL,3,20,NTB,3,W20,Lê Minh Đại
Bình Thuận,Bưu Cục 430 Tôn Đức Thắng-Tân Phước-Thị xã La Gi-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Phúc Store's,2,20,NTB,2,W20,Cao Thị Thanh Thủy
Khánh Hòa,Bưu Cục 39 Hùng Vương-Diên Khánh-Khánh Hòa,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,LuluBoutique1,2,20,NTB,2,W20,Nguyễn Hoàng Phi
Lâm Đồng,Bưu Cục 300 Tự Phước-Đà Lạt-Lâm Đồng,2026-05-15,1.Tạo trước 9h,4.Khác,DALATFARM1994,5,20,NTB,0,W20,Lê Văn Trường
Bình Thuận,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,truyền phương,4,20,NTB,4,W20,Nguyễn Ngọc Khánh
Bình Thuận,Bưu Cục Phú Tài-Phan Thiết-Bình Thuận,2026-05-15,1.Tạo trước 9h,0.Ontime OPR,Golden Farm Vietnam,1,20,NTB,1,W20,Nguyễn Ngọc Khánh
Bình Thuận,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Tiệm Dinh Dưỡng Khánh My,1,20,NTB,1,W20,Nguyễn Ngọc Khánh
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-15,1.Tạo trước 9h,4.Khác,TANKOO LABEL,1,20,NTB,0,W20,Phạm Bá Thành Công
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-05-15,1.Tạo trước 9h,0.Ontime OPR,shop B&B....,70,20,NTB,70,W20,Huỳnh Tấn Hiền
Bình Thuận,Bưu Cục Số 7 Lê Thánh Tôn-LaGi-Bình Thuận,2026-05-15,1.Tạo trước 9h,4.Khác,Máy Đảo Thuốc Gia Long,1,20,NTB,0,W20,Cao Thị Thanh Thủy
Khánh Hòa,Bưu Cục Thôn Xuân Hoà 1-Ninh Hoà-Khánh Hoà,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Nem Chả Hùng Phụng Ninh Hoà,13,20,NTB,13,W20,Phạm Bá Thành Công
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,2.Khách hẹn lại,DEROSEA Vietnam,23,20,NTB,0,W20,Nguyễn Ngọc Khánh
Khánh Hòa,Bưu Cục 06 Lê Hồng Phong-TP.Nha Trang-Khánh Hòa,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,YODY Official,22,20,NTB,22,W20,Thái Thị Thanh Thư
Đắk Nông,Điểm Xử Lý Hàng Thôn 2-Xã Nhân Cơ-Đắk Nông,2026-05-15,1.Tạo trước 9h,4.Khác,Nông Nghiệp 4 Mùa,5,20,NTB,0,W20,Trần Văn Phước
Khánh Hòa,Bưu Cục 06 Lê Hồng Phong-TP.Nha Trang-Khánh Hòa,2026-05-15,1.Tạo trước 9h,0.Ontime OPR,Thoi Trang Khatoco,2,20,NTB,2,W20,Thái Thị Thanh Thư
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-15,1.Tạo trước 9h,4.Khác,TANCY STUDIO,1,20,NTB,0,W20,Phạm Bá Thành Công
Lâm Đồng,Bưu Cục Cao Bá Quát-Phường 7-Đà Lạt-Lâm Đồng,2026-05-15,3.Tạo sau 19h,4.Khác,YODY Official,3,20,NTB,0,W20,Lê Minh Đại
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,DEROSEA Vietnam,70,20,NTB,70,W20,Nguyễn Ngọc Khánh
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Holiday Shop.,5,20,NTB,5,W20,Phạm Bá Thành Công
Ninh Thuận,Bưu Cục Phước Minh-Thuận Nam-Khánh Hòa,2026-05-15,3.Tạo sau 19h,4.Khác,Đồ nhà quê 79,1,20,NTB,0,W20,#N/A
Lâm Đồng,Bưu Cục Cao Bá Quát-Phường 7-Đà Lạt-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,1.Gan_tre,YODY Official,1,20,NTB,0,W20,Lê Minh Đại
Bình Thuận,Bưu Cục 575 Quốc Lộ 28-Xã Hàm Thuận-Bình Thuận,2026-05-15,1.Tạo trước 9h,4.Khác,HPHouse,6,20,NTB,0,W20,Nguyễn Ngọc Khánh
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,HÀNG THÁI LAN LÝ STORE,4,20,NTB,4,W20,Hồng Bích Nga
Khánh Hòa,Bưu Cục Đường Tỉnh Lộ 10-Xã Diên Thọ-Khánh Hòa,2026-05-15,1.Tạo trước 9h,4.Khác,Quầy thuốc Y Đức,4,20,NTB,0,W20,Nguyễn Hoàng Phi
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-05-15,1.Tạo trước 9h,4.Khác,Holvixa,2,20,NTB,0,W20,Lê Văn Trường
Ninh Thuận,Bưu Cục 254A Đường 21 tháng 8-Phan Rang-Tháp Chàm-Ninh Thuận,2026-05-15,1.Tạo trước 9h,4.Khác,Cây giống nha đam,1,20,NTB,0,W20,Nguyễn Duy Long
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-05-15,1.Tạo trước 9h,4.Khác,Chị Ba Bán Dừa,1,20,NTB,0,W20,Hồng Bích Nga
Bình Thuận,Bưu Cục 430 Tôn Đức Thắng-Tân Phước-Thị xã La Gi-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,shop Cà phê phố,12,20,NTB,12,W20,Cao Thị Thanh Thủy
Khánh Hòa,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,EcoBiVN Sản Phẩm Hỗ Trợ Cá Cảnh,15,20,NTB,15,W20,Thái Thị Thanh Thư
Bình Thuận,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Wussy Shop,1,20,NTB,1,W20,Lê Thanh Nhựt
Bình Thuận,Bưu cục DT707-Hàm Thuận Nam-Bình Thuận,2026-05-15,1.Tạo trước 9h,4.Khác,Đồ Nghề Chuyên Nghiệp,3,20,NTB,0,W20,Lê Thanh Nhựt
Bình Thuận,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,2026-05-15,1.Tạo trước 9h,0.Ontime OPR,Thành trung RT shop,1,20,NTB,1,W20,Nguyễn Ngọc Khánh
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,KEM JP THAO,3,20,NTB,3,W20,Hồng Bích Nga
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,4.Khác,Holvixa,1,20,NTB,0,W20,Lê Văn Trường
Khánh Hòa,Bưu Cục 466 Đường 23/10-Nha Trang-Khánh Hòa,2026-05-15,1.Tạo trước 9h,0.Ontime OPR,Shop Đồ Bộ Hằng,1,20,NTB,1,W20,Phan Đình Duy
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-15,1.Tạo trước 9h,4.Khác,Gia dụng VIệt - Cozy Home,2,20,NTB,0,W20,Phạm Bá Thành Công
Lâm Đồng,Bưu Cục Thôn Phúc Hưng-Xã Tân Hà Lâm Hà-Lâm Đồng,2026-05-15,1.Tạo trước 9h,4.Khác,Hoang ân ân,1,20,NTB,0,W20,Huỳnh Thị Kim Chi
Bình Thuận,Bưu Cục 237 Nguyễn Tất Thành-Bắc Bình-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,1.Gan_tre,SảnPhẩmNôngnghiệp,3,20,NTB,0,W20,Nguyễn Ngọc Khánh
Bình Thuận,Bưu Cục Phú Thủy-Phan Thiết-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,KÊNH CỦA CHANG,3,20,NTB,3,W20,Nguyễn Ngọc Khánh
Khánh Hòa,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Quầy Thuốc Huyền My 1,1,20,NTB,1,W20,Thái Thị Thanh Thư
Khánh Hòa,Bưu Cục 56 Phan Đình Phùng-Cam Linh-Khánh Hòa,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,THE CÓI,4,20,NTB,4,W20,Thái Thị Thanh Thư
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Gốm Chăm Bàu Trúc Ninh Thuận,1,20,NTB,1,W20,Nguyễn Duy Long
Lâm Đồng,Bưu Cục Lê Hồng Phong-Liên Hiệp-Đức Trọng-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,HOÀNG  PP SHOP,3,20,NTB,3,W20,Võ Tấn Lợi
Lâm Đồng,Bưu Cục 190/11 Phù Đổng Thiên Vương-Phường 8-Đà Lạt-Lâm Đồng,2026-05-15,3.Tạo sau 19h,4.Khác,Ari Koi Store,4,20,NTB,0,W20,Lê Văn Trường
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Trà Tằng Vĩnh An Lâm Đồng,22,20,NTB,22,W20,Nguyễn Lê Nguyên Vũ
Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,DUYTRINH 0FFICAL STORE,2,20,NTB,2,W20,Lê Minh Đại
Khánh Hòa,Bưu Cục Phước Đồng-Nha Trang-Khánh Hoà,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Làng Nghề Lưới Cước,2,20,NTB,2,W20,Thái Thị Thanh Thư
Lâm Đồng,Bưu Cục 95A Đội Cấn-Bảo Lộc-Lâm Đồng,2026-05-15,1.Tạo trước 9h,4.Khác,Vườn Xanh TT,1,20,NTB,0,W20,Hồng Bích Nga
Lâm Đồng,Bưu Cục Đường Trần Lê-Cát Tiên-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Since1997 Pyjama Bigsize,2,20,NTB,2,W20,#N/A
Lâm Đồng,Bưu Cục Đạ Huoai-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Thế Giới Đ Bẫy - STORE,5,20,NTB,5,W20,Huỳnh Tấn Hiền
Bình Thuận,Bưu Cục Xã Nam Chính-Đức Linh-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,MOTO BIKE 86,18,20,NTB,18,W20,Huỳnh Tấn Hiền
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-05-15,3.Tạo sau 19h,4.Khác,LUNASTORES SHOPss,1,20,NTB,0,W20,Nguyễn Lê Nguyên Vũ
Khánh Hòa,Bưu Cục 195 Đường 2/4-Nha Trang-Khánh Hòa,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Thực Phẩm TP,22,20,NTB,22,W20,Phạm Bá Thành Công
Khánh Hòa,Bưu Cục 229 Phước Long-Nam Nha Trang-Khánh Hòa,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Trầm Hương Nông Lâm,4,20,NTB,4,W20,Thái Thị Thanh Thư
Khánh Hòa,Bưu Cục Thôn Xuân Hoà 1-Ninh Hoà-Khánh Hoà,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Nông Ngư Cơ,4,20,NTB,4,W20,Phạm Bá Thành Công
Lâm Đồng,Bưu Cục TDP Nghĩa Đức-Thạnh Mỹ-Đơn Dương-Lâm Đồng,2026-05-15,1.Tạo trước 9h,0.Ontime OPR,DUYTRINH 0FFICAL STORE,5,20,NTB,5,W20,Lê Minh Đại
Lâm Đồng,Bưu cục Ngô Thỳ Sỹ - Đà Lạt - Lâm Đồng,2026-05-15,1.Tạo trước 9h,4.Khác,Cô Trang - Eo Yoga,1,20,NTB,0,W20,#N/A
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-05-15,3.Tạo sau 19h,4.Khác,YẾN BIGSIZE UNISEX,2,20,NTB,0,W20,Nguyễn Duy Long
Đắk Nông,Bưu Cục Hùng Vương-Nghĩa Trung-Gia Nghĩa-Đắk Nông,2026-05-15,1.Tạo trước 9h,4.Khác,Racing 945 Shop,4,20,NTB,0,W20,Trần Công Hậu
Lâm Đồng,Bưu Cục 412 Nguyễn Văn Cừ-Lộc Phát-Bảo Lộc-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Thư Ú Mall,4,20,NTB,4,W20,Hồng Bích Nga
Khánh Hòa,Bưu Cục 42 Nguyễn Du-Cam Lâm-Khánh Hoà,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,hoathan74,1,20,NTB,1,W20,Nguyễn Thanh Long
Ninh Thuận,Bưu Cục Quốc Lộ 1A-Ninh Phước-Ninh Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Pessi Food,1,20,NTB,1,W20,Nguyễn Duy Long
Lâm Đồng,Bưu cục 1479 Trần Phú-Lộc Châu-Bảo Lộc-Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Bông Natural,3,20,NTB,3,W20,Nguyễn Lê Nguyên Vũ
Bình Thuận,Bưu Cục 585 Nguyễn Tất Thành-Xã Lương Sơn-Bình Thuận,2026-05-15,2.Tạo từ 9h-19h,0.Ontime OPR,Cherry shop 94,1,20,NTB,1,W20,Nguyễn Ngọc Khánh
Lâm Đồng,Bưu cục Ngô Thỳ Sỹ - Đà Lạt - Lâm Đồng,2026-05-15,2.Tạo từ 9h-19h,1.Gan_tre,ĐẶC SẢN XỨ ĐÀ LẠT,1,20,NTB,0,W20,#N/A
